month,Pop,PfPR U5,year,Run_Number,Habitat_Multiplier,admin_name
2,933.9666666667,0.1163853099682,2012,0,1.5848931924611125,GG
3,929.4666666667,0.1201047195524,2012,0,1.5848931924611125,GG
4,931.2333333333,0.1154383076207,2012,0,1.5848931924611125,GG
5,934.8,0.1043717016118,2012,0,1.5848931924611125,GG
6,935.9666666667,0.1104027921222,2012,0,1.5848931924611125,GG
7,939.0,0.2090521831736,2012,0,1.5848931924611125,GG
8,937.8333333333,0.2647591967301,2012,0,1.5848931924611125,GG
9,947.2,0.3220368806306,2012,0,1.5848931924611125,GG
10,957.9666666667,0.3285778906712,2012,0,1.5848931924611125,GG
11,960.8,0.2812239800167,2012,0,1.5848931924611125,GG
12,964.3333333333,0.2005184929139,2012,0,1.5848931924611125,GG
1,964.2666666667,0.1343335176991,2013,0,1.5848931924611125,GG
2,967.9333333333,0.12142709553,2013,0,1.5848931924611125,GG
3,960.4666666667,0.1221628375095,2013,0,1.5848931924611125,GG
4,957.0666666667,0.1345082195598,2013,0,1.5848931924611125,GG
5,953.0666666667,0.1120593172916,2013,0,1.5848931924611125,GG
6,956.0666666667,0.1317551077331,2013,0,1.5848931924611125,GG
7,964.2666666667,0.2108683628319,2013,0,1.5848931924611125,GG
8,965.1,0.2675370427935,2013,0,1.5848931924611125,GG
9,962.3333333333,0.3036023553862,2013,0,1.5848931924611125,GG
10,955.1333333333,0.3212116981922,2013,0,1.5848931924611125,GG
11,954.2333333333,0.2750899500472,2013,0,1.5848931924611125,GG
12,963.8333333333,0.2058793014007,2013,0,1.5848931924611125,GG
1,972.8333333333,0.1318485523385,2014,0,1.5848931924611125,GG
2,969.3666666667,0.1057047556824,2014,0,1.5848931924611125,GG
3,974.6333333333,0.1101268853244,2014,0,1.5848931924611125,GG
4,977.5,0.09930093776641,2014,0,1.5848931924611125,GG
5,973.6,0.1002807450014,2014,0,1.5848931924611125,GG
6,965.5,0.1278439495943,2014,0,1.5848931924611125,GG
7,963.0,0.2068881966078,2014,0,1.5848931924611125,GG
8,964.0333333333,0.2581515161993,2014,0,1.5848931924611125,GG
9,970.9,0.3185360661929,2014,0,1.5848931924611125,GG
10,965.9333333333,0.3470563876044,2014,0,1.5848931924611125,GG
11,950.6,0.2965846132267,2014,0,1.5848931924611125,GG
12,947.0333333333,0.2193164619338,2014,0,1.5848931924611125,GG
1,944.7666666667,0.1380940620259,2015,0,1.5848931924611125,GG
2,942.5333333333,0.1227189135663,2015,0,1.5848931924611125,GG
3,941.6333333333,0.1320754716981,2015,0,1.5848931924611125,GG
4,945.4333333333,0.1324965624229,2015,0,1.5848931924611125,GG
5,948.8333333333,0.1197611101353,2015,0,1.5848931924611125,GG
6,952.2,0.1381362458867,2015,0,1.5848931924611125,GG
7,960.6,0.2124366715247,2015,0,1.5848931924611125,GG
8,966.7666666667,0.2539047684722,2015,0,1.5848931924611125,GG
9,968.8666666667,0.3129429574073,2015,0,1.5848931924611125,GG
10,972.8333333333,0.3362343669693,2015,0,1.5848931924611125,GG
11,972.3666666667,0.2861746254842,2015,0,1.5848931924611125,GG
12,970.0,0.1975257731959,2015,0,1.5848931924611125,GG
1,981.2333333333,0.1407072731596,2016,0,1.5848931924611125,GG
2,990.1,0.1301215365451,2016,0,1.5848931924611125,GG
3,994.2333333333,0.1319274482851,2016,0,1.5848931924611125,GG
4,993.0666666667,0.1385606874329,2016,0,1.5848931924611125,GG
5,989.9333333333,0.125462994141,2016,0,1.5848931924611125,GG
6,994.4666666667,0.140678420594,2016,0,1.5848931924611125,GG
7,982.9333333333,0.2245659251221,2016,0,1.5848931924611125,GG
8,981.0666666667,0.2697743952161,2016,0,1.5848931924611125,GG
9,981.1,0.3308191485747,2016,0,1.5848931924611125,GG
10,977.8,0.3351060203177,2016,0,1.5848931924611125,GG
11,966.6,0.2678115732119,2016,0,1.5848931924611125,GG
12,964.9333333333,0.196559347796,2016,0,1.5848931924611125,GG
1,964.2666666667,0.1322939712389,2017,0,1.5848931924611125,GG
2,969.6666666667,0.1295290477827,2017,0,1.5848931924611125,GG
3,970.3,0.1244975780686,2017,0,1.5848931924611125,GG
4,960.4333333333,0.1175511054038,2017,0,1.5848931924611125,GG
5,952.4,0.110002799944,2017,0,1.5848931924611125,GG
6,943.1333333333,0.1339506609175,2017,0,1.5848931924611125,GG
7,944.4333333333,0.2164966646666,2017,0,1.5848931924611125,GG
8,936.7,0.272374648589,2017,0,1.5848931924611125,GG
9,936.9666666667,0.3158774769647,2017,0,1.5848931924611125,GG
10,935.1333333333,0.3499679190133,2017,0,1.5848931924611125,GG
11,933.5,0.2949830387431,2017,0,1.5848931924611125,GG
12,935.0666666667,0.2017324967917,2017,0,1.5848931924611125,GG
1,937.4666666667,0.02876546721661,2010,1,0.1,FF
2,939.9333333333,0.02241293708774,2010,1,0.1,FF
3,949.2666666667,0.02222768452841,2010,1,0.1,FF
4,949.1333333333,0.01411814286718,2010,1,0.1,FF
5,953.2666666667,0.008147422896706,2010,1,0.1,FF
6,958.4333333333,0.01119883142629,2010,1,0.1,FF
7,968.5666666667,0.01176996937055,2010,1,0.1,FF
8,973.1333333333,0.01171473590464,2010,1,0.1,FF
9,974.5333333333,0.0137159666165,2010,1,0.1,FF
10,970.6,0.02026238065801,2010,1,0.1,FF
11,971.0,0.01771369721936,2010,1,0.1,FF
12,981.3333333333,0.01610054347826,2010,1,0.1,FF
1,979.3,0.007964872868375,2011,1,0.1,FF
2,983.8333333333,0.00799593427071,2011,1,0.1,FF
3,981.8,0.005907516805867,2011,1,0.1,FF
4,978.6666666667,0.00483651226158,2011,1,0.1,FF
5,982.1666666667,0.002036314271169,2011,1,0.1,FF
6,981.2,0.001528740317978,2011,1,0.1,FF
7,981.7333333333,0.004651636561184,2011,1,0.1,FF
8,983.4666666667,0.005999186550976,2011,1,0.1,FF
9,980.9333333333,0.004825336414299,2011,1,0.1,FF
10,975.3666666667,0.008372919585797,2011,1,0.1,FF
11,979.7,0.009832942057092,2011,1,0.1,FF
12,982.0666666667,0.008281854592356,2011,1,0.1,FF
1,975.1666666667,0.005332421808238,2012,1,0.1,FF
2,967.7,0.005786917433089,2012,1,0.1,FF
3,973.5333333333,0.003937547079367,2012,1,0.1,FF
4,980.0,0.003367346938776,2012,1,0.1,FF
5,974.7666666667,0.006873439797558,2012,1,0.1,FF
6,978.0333333333,0.005214546198153,2012,1,0.1,FF
7,978.1,0.005963943700371,2012,1,0.1,FF
8,973.8333333333,0.005408180729078,2012,1,0.1,FF
9,971.9666666667,0.00816214547824,2012,1,0.1,FF
10,968.6333333333,0.01410922605733,2012,1,0.1,FF
11,970.5333333333,0.0148715482896,2012,1,0.1,FF
12,962.7666666667,0.01495689505938,2012,1,0.1,FF
1,961.2,0.00939797475378,2013,1,0.1,FF
2,962.5666666667,0.01028500190463,2013,1,0.1,FF
3,963.2,0.01079734219269,2013,1,0.1,FF
4,957.9,0.007725232278944,2013,1,0.1,FF
5,966.8,0.005688870500621,2013,1,0.1,FF
6,970.8666666667,0.005081370596718,2013,1,0.1,FF
7,973.9333333333,0.01218426997057,2013,1,0.1,FF
8,969.8333333333,0.008695652173913,2013,1,0.1,FF
9,971.3333333333,0.007378174330817,2013,1,0.1,FF
10,973.8666666667,0.0167374041621,2013,1,0.1,FF
11,967.6666666667,0.01495005167069,2013,1,0.1,FF
12,961.0,0.01141172389872,2013,1,0.1,FF
1,969.0666666667,0.007120253164557,2014,1,0.1,FF
2,973.9,0.006229250094123,2014,1,0.1,FF
3,978.3333333333,0.003884156729131,2014,1,0.1,FF
4,975.4666666667,0.003622197922362,2014,1,0.1,FF
5,966.1333333333,0.00324316864477,2014,1,0.1,FF
6,959.5666666667,0.003022197519714,2014,1,0.1,FF
7,959.7333333333,0.007536815782162,2014,1,0.1,FF
8,956.8666666667,0.004911865115307,2014,1,0.1,FF
9,954.9,0.008866547980591,2014,1,0.1,FF
10,956.9333333333,0.01696391249826,2014,1,0.1,FF
11,957.8333333333,0.01555594223073,2014,1,0.1,FF
12,955.3,0.01517847796504,2014,1,0.1,FF
1,945.3666666667,0.01068368534255,2015,1,0.1,FF
